scenario,time,state,obs,action,value,rep,method
1,74,33,33,10,0.004084925137966988,4,POMDP
1,75,33,33,10,0.0038806788810686384,4,POMDP
1,76,33,33,10,0.0036866449370152065,4,POMDP
1,77,35,35,12,0.004280604399089879,4,POMDP
1,78,33,33,10,0.0033271970556562236,4,POMDP
1,79,34,34,11,0.003512041336526014,4,POMDP
1,80,32,32,9,0.0026691514157597706,4,POMDP
1,81,33,33,10,0.0028526555755932544,4,POMDP
1,82,32,32,9,0.0024089091527231925,4,POMDP
1,83,32,32,9,0.0022884636950870328,4,POMDP
1,84,34,34,11,0.0027175506379158517,4,POMDP
1,85,33,33,10,0.0023235057954180526,4,POMDP
1,86,34,34,11,0.0024525894507190556,4,POMDP
1,87,34,34,11,0.0023299599781831026,4,POMDP
1,88,34,34,11,0.0022134619792739474,4,POMDP
1,89,34,34,11,0.00210278888031025,4,POMDP
1,90,34,34,11,0.0019976494362947375,4,POMDP
1,91,34,34,11,0.0018977669644800004,4,POMDP
1,92,33,33,10,0.0016225907546304004,4,POMDP
1,93,33,33,10,0.0015414612168988802,4,POMDP
1,94,34,34,11,0.0016270979511710402,4,POMDP
1,95,31,31,8,0.0010820201375287418,4,POMDP
1,96,32,32,9,0.0011747647207454909,4,POMDP
1,97,32,32,9,0.0011160264847082163,4,POMDP
1,98,32,32,9,0.0010602251604728053,4,POMDP
1,99,34,34,11,0.0012590173780614564,4,POMDP
1,1,9,9,1,0,5,POMDP
1,2,14,14,1,0,5,POMDP
1,3,21,21,1,0,5,POMDP
1,4,32,32,9,0.13163737373737372,5,POMDP
1,5,35,35,12,0.17195131944444442,5,POMDP
1,6,33,33,10,0.13365307102272725,5,POMDP
1,7,32,32,9,0.11286259330808078,5,POMDP
1,8,33,33,10,0.12062189659801133,5,POMDP
1,9,34,34,11,0.12732311307567862,5,POMDP
1,10,33,33,10,0.10886126167970521,5,POMDP
1,11,33,33,10,0.10341819859571995,5,POMDP
1,12,33,33,10,0.09824728866593394,5,POMDP
1,13,35,35,12,0.11407601850655663,5,POMDP
1,14,32,32,9,0.07881615824089366,5,POMDP
1,15,31,31,8,0.06551593153774286,5,POMDP
1,16,33,33,10,0.08002303066395734,5,POMDP
1,17,33,33,10,0.07602187913075947,5,POMDP
1,18,34,34,11,0.08024531686024611,5,POMDP
1,19,33,33,10,0.06860974591551042,5,POMDP
1,20,33,33,10,0.06517925861973489,5,POMDP
1,21,34,34,11,0.06880032854305351,5,POMDP
1,22,33,33,10,0.05882428090431073,5,POMDP
1,23,33,33,10,0.0558830668590952,5,POMDP
1,24,33,33,10,0.05308891351614044,5,POMDP
1,25,34,34,11,0.05603829760037046,5,POMDP
1,26,33,33,10,0.04791274444831674,5,POMDP
1,27,34,34,11,0.050574563584334334,5,POMDP
1,28,32,32,9,0.03843666832409409,5,POMDP
1,29,35,35,12,0.050207897998347906,5,POMDP
1,30,33,33,10,0.039025229807806774,5,POMDP
