time,method,mean,sd
92,CE,0.5373737373737374,0.28007463272991023
92,MSY,0.12686868686868688,0.2578035047879513
92,TAC,0.34,0.387478696744127
93,CE,0.5511111111111111,0.2900826042551916
93,MSY,0.11898989898989899,0.2575605726031659
93,TAC,0.35111111111111115,0.39741304799855237
94,CE,0.5557575757575758,0.2921418263337998
94,MSY,0.12424242424242425,0.2715912354955129
94,TAC,0.3373737373737374,0.3733635348783846
95,CE,0.5266666666666667,0.2815610685915653
95,MSY,0.12323232323232325,0.2675867540243173
95,TAC,0.34262626262626267,0.3823363498117723
96,CE,0.5313131313131314,0.2756160610216275
96,MSY,0.1278787878787879,0.2711610299469912
96,TAC,0.35393939393939394,0.39694286440288684
97,CE,0.5547474747474748,0.28827698596406454
97,MSY,0.138989898989899,0.2828469392013158
97,TAC,0.3393939393939394,0.38530161068153673
98,CE,0.5323232323232324,0.2685690092266936
98,MSY,0.12343434343434344,0.2557616504939001
98,TAC,0.32363636363636367,0.36271670030820746
99,CE,0.5228282828282829,0.2769110035464302
99,MSY,0.12545454545454546,0.2672290187472709
99,TAC,0.3492929292929293,0.39365590902967523
1,POMDP,0.16161616161616163,0
2,POMDP,0.27313131313131317,0.15375965658195373
3,POMDP,0.3995959595959596,0.22705016934580385
4,POMDP,0.5262626262626263,0.2833288819718711
5,POMDP,0.5957575757575758,0.2826167821725069
6,POMDP,0.614949494949495,0.28219089488506793
7,POMDP,0.5973737373737374,0.2699298385869507
8,POMDP,0.6290909090909091,0.28644933717758236
9,POMDP,0.6204040404040405,0.28169339550764433
10,POMDP,0.6517171717171718,0.29394424998557067
11,POMDP,0.6131313131313132,0.2752250271528421
12,POMDP,0.6585858585858586,0.3058805519329751
13,POMDP,0.6337373737373738,0.28359473159436116
14,POMDP,0.6264646464646465,0.2819888573564743
15,POMDP,0.6307070707070708,0.28660127130759216
16,POMDP,0.6010101010101011,0.27926944562968936
17,POMDP,0.6125252525252526,0.2763387422102759
18,POMDP,0.6206060606060607,0.2935296719386792
19,POMDP,0.6234343434343435,0.2859596069519213
20,POMDP,0.6137373737373738,0.2789504885323421
21,POMDP,0.6258585858585859,0.2831339173880946
22,POMDP,0.6202020202020203,0.2863698849829679
23,POMDP,0.5898989898989899,0.28069215327456015
24,POMDP,0.6090909090909091,0.2844325338844425
25,POMDP,0.6143434343434344,0.28281509144685646
26,POMDP,0.6056565656565657,0.28117610334529997
27,POMDP,0.594949494949495,0.276763506150353
28,POMDP,0.5890909090909091,0.27774996846260863
29,POMDP,0.6096969696969697,0.2732407957736933
30,POMDP,0.6092929292929293,0.2750503980740588
31,POMDP,0.6016161616161617,0.2916063134129721
32,POMDP,0.6341414141414142,0.3093367512797124
33,POMDP,0.5945454545454546,0.28072526982274615
34,POMDP,0.6014141414141415,0.27630853146780093
35,POMDP,0.6105050505050506,0.2906008524693202
36,POMDP,0.6234343434343435,0.2884714041652605
37,POMDP,0.6098989898989899,0.2736224618759399
38,POMDP,0.612929292929293,0.28232088232872
39,POMDP,0.6402020202020202,0.29221519480680086
40,POMDP,0.6624242424242425,0.2930688654185709
41,POMDP,0.6250505050505051,0.2934557892310648
42,POMDP,0.5890909090909091,0.2728835989674835
43,POMDP,0.6088888888888889,0.28196729326894443
44,POMDP,0.5963636363636364,0.26792516383949555
45,POMDP,0.612929292929293,0.28337027375236956
46,POMDP,0.6272727272727273,0.2939688620689537
47,POMDP,0.5991919191919193,0.2885171305849472
48,POMDP,0.6280808080808081,0.2990948753630821
49,POMDP,0.6181818181818183,0.28333797558779705
50,POMDP,0.6113131313131314,0.28869425205234456
51,POMDP,0.6096969696969697,0.29075402004622297
52,POMDP,0.6246464646464647,0.29169253641073567
53,POMDP,0.6296969696969698,0.282113969622966
54,POMDP,0.6284848484848485,0.291426930299975
55,POMDP,0.631919191919192,0.2985290281787373
56,POMDP,0.6167676767676769,0.2814175465575971
57,POMDP,0.6503030303030304,0.29862036192227737
58,POMDP,0.6428282828282829,0.2960371184676704
59,POMDP,0.6127272727272728,0.27628167470120446
60,POMDP,0.6113131313131314,0.2849139649227194
61,POMDP,0.6424242424242425,0.2899108813521362
62,POMDP,0.6115151515151516,0.273926027329251
63,POMDP,0.6464646464646465,0.2877413720363903
64,POMDP,0.651919191919192,0.2998349367280022
65,POMDP,0.6397979797979798,0.2901532966821656
66,POMDP,0.6143434343434344,0.29006860582192506
67,POMDP,0.6238383838383839,0.2798726141095203
68,POMDP,0.6169696969696971,0.28420119502230606
69,POMDP,0.6236363636363637,0.29027545806353533
70,POMDP,0.6296969696969698,0.27143454463980726
71,POMDP,0.6208080808080809,0.287466952762373
72,POMDP,0.6270707070707071,0.28879847437434103
73,POMDP,0.6242424242424243,0.2932686113709006
74,POMDP,0.6307070707070708,0.28800744274132334
75,POMDP,0.6161616161616162,0.2943349951805091
76,POMDP,0.604040404040404,0.2805819814257172
77,POMDP,0.6107070707070708,0.2838591704106591
78,POMDP,0.6163636363636364,0.28946254359351914
79,POMDP,0.6254545454545455,0.28990974377532575
80,POMDP,0.6143434343434344,0.2788516774586384
81,POMDP,0.6468686868686869,0.29443974103271736
82,POMDP,0.6460606060606061,0.30059189669679
83,POMDP,0.6515151515151516,0.3026883081885713
84,POMDP,0.6480808080808081,0.30486375251504555
85,POMDP,0.6292929292929293,0.29005837303722
86,POMDP,0.6521212121212122,0.3019069748196121
87,POMDP,0.631919191919192,0.28507973226227723
88,POMDP,0.6383838383838384,0.2903371584259982
89,POMDP,0.6123232323232324,0.27050102793213693
90,POMDP,0.5868686868686869,0.26655062047869504
91,POMDP,0.6121212121212122,0.2784286185777166
92,POMDP,0.6224242424242424,0.27835746619921614
93,POMDP,0.6185858585858587,0.2835238578887934
94,POMDP,0.6090909090909091,0.2850406134975148
95,POMDP,0.6185858585858587,0.2847715536650545
96,POMDP,0.6080808080808081,0.2806260553555792
97,POMDP,0.6020202020202021,0.2756983132697244
98,POMDP,0.632929292929293,0.29026693684480326
99,POMDP,0.6345454545454546,0.28439948664290815
